from,to,edge,core,mechanism,cites,cites_empirical,cite_weight,edge_betweenness,detail,type,title,color,value
geographic partisan distribution,partisan advantage,affects,NA,"Chen & Rodden 2013: Democrats are geographically clustered which is electorally disadvantageous; they run up the score in large cities which leads to a discrepency between total vote share and seat share. Duchin et al. 2019: Republicans in Massachusetts are evenly distributed across the state, so they can get 30-40% of the statewide vote, but never win a single House seat. Powell et al. 2020: Also find that geographic clustering plays a role in the discrepency between total vote share and seat distribution in the House.",Chen & Rodden 2013; Duchin et al. 2019; Powell et al. 2020,Chen & Rodden 2013; Duchin et al. 2019; Powell et al. 2020,3,24,"affects<br>Chen & Rodden 2013: Democrats are geographically clustered which is electorally disadvantageous; they run up the score in large cities which leads to a discrepency between total vote share and seat share. Duchin et al. 2019: Republicans in Massachusetts are evenly distributed across the state, so they can get 30-40% of the statewide vote, but never win a single House seat. Powell et al. 2020: Also find that geographic clustering plays a role in the discrepency between total vote share and seat distribution in the House.<br>Chen & Rodden 2013; Duchin et al. 2019; Powell et al. 2020",affects,"<p>affects<br>Chen & Rodden 2013: Democrats are geographically clustered which is electorally disadvantageous; they run up the score in large cities which leads to a discrepency between total vote share and seat share. Duchin et al. 2019: Republicans in Massachusetts are evenly distributed across the state, so they can get 30-40% of the statewide vote, but never win a single House seat. Powell et al. 2020: Also find that geographic clustering plays a role in the discrepency between total vote share and seat distribution in the House.<br>Chen & Rodden 2013; Duchin et al. 2019; Powell et al. 2020</p>",#617d9f,3
preserve communities of interest,stability in voters' fellow constituents,increases,NA,NA,Winburn & Wagner 2010,NA,1,18,increases<br><br>Winburn & Wagner 2010,increases,<p>increases<br><br>Winburn & Wagner 2010</p>,#81a275,1
preserve communities of interest,voter information about their district,increases,NA,NA,Winburn & Wagner 2010,NA,1,27,increases<br><br>Winburn & Wagner 2010,increases,<p>increases<br><br>Winburn & Wagner 2010</p>,#81a275,1
preserve communities of interest,rolloff,decreases heterogeneously by race,NA,NA,Hayes & McKee 2011; Winburn & Wagner 2010,Hayes & McKee 2011,2,9,decreases heterogeneously by race<br><br>Hayes & McKee 2011; Winburn & Wagner 2010,decreases heterogeneously by race,<p>decreases heterogeneously by race<br><br>Hayes & McKee 2011; Winburn & Wagner 2010</p>,#b14552,2
number of competitive districts,elite polarization,decreases,NA,Safe partisan seats tend to increase partisan polarization.,Grainger 2010,Grainger 2010,1,2.5,decreases<br>Safe partisan seats tend to increase partisan polarization.<br>Grainger 2010,decreases,<p>decreases<br>Safe partisan seats tend to increase partisan polarization.<br>Grainger 2010</p>,#b14552,1
partisan advantage,floor votes align with district preferences,decreases,NA,TODO,Caughey et al. 2017,NA,1,9,decreases<br>TODO<br>Caughey et al. 2017,decreases,<p>decreases<br>TODO<br>Caughey et al. 2017</p>,#b14552,1
partisan advantage,floor votes align with state preferences,decreases,NA,TODO,Caughey et al. 2017,NA,1,9,decreases<br>TODO<br>Caughey et al. 2017,decreases,<p>decreases<br>TODO<br>Caughey et al. 2017</p>,#b14552,1
partisan advantage,partisan advantage,NA,NA,Measures of partisan symmetry/bias/advantage,"Arrington 2016; Campisi et al. 2019; Katz, King & Rosenblatt 2020",NA,3,0,"<br>Measures of partisan symmetry/bias/advantage<br>Arrington 2016; Campisi et al. 2019; Katz, King & Rosenblatt 2020",NA,"<p><br>Measures of partisan symmetry/bias/advantage<br>Arrington 2016; Campisi et al. 2019; Katz, King & Rosenblatt 2020</p>",NA,3
partisan advantage,legislator voting,no effect,NA,Legislators do not change their ideological positions after redistricting (though The Electoral Connection suggests they should),Lo 2013,Lo 2013,1,9,no effect<br>Legislators do not change their ideological positions after redistricting (though The Electoral Connection suggests they should)<br>Lo 2013,no effect,<p>no effect<br>Legislators do not change their ideological positions after redistricting (though The Electoral Connection suggests they should)<br>Lo 2013</p>,#617d9f,1
partisan advantage,elite polarization,no effect,NA,"Because vulnerable legislators do not moderate their positions, Lo assumes that safe legislators do not become more extreme",Lo 2013,NA,1,4.5,"no effect<br>Because vulnerable legislators do not moderate their positions, Lo assumes that safe legislators do not become more extreme<br>Lo 2013",no effect,"<p>no effect<br>Because vulnerable legislators do not moderate their positions, Lo assumes that safe legislators do not become more extreme<br>Lo 2013</p>",#617d9f,1
partisan advantage,efficiency gap,no effect,NA,"Gerrymandering does not affect the electoral results in most states, and in the states where it does have an effect, the effect is small. Republicans are expected to net only one additional seat in Congress due to gerrymandering.",Chen & Cottrell 2016,Chen & Cottrell 2016,1,15,"no effect<br>Gerrymandering does not affect the electoral results in most states, and in the states where it does have an effect, the effect is small. Republicans are expected to net only one additional seat in Congress due to gerrymandering.<br>Chen & Cottrell 2016",no effect,"<p>no effect<br>Gerrymandering does not affect the electoral results in most states, and in the states where it does have an effect, the effect is small. Republicans are expected to net only one additional seat in Congress due to gerrymandering.<br>Chen & Cottrell 2016</p>",#617d9f,1
partisan advantage,number of competitive districts,increases,NA,"Large changes in the national partisan tide causes garrymanders to backfire on the map-drawing party (an effect known as the ""dummymander""), as their members face unexpectedly competitive elections.",Goedert 2017; Goedert 2014,"Goedert 2017, Yoshinaka & Murhpy 2011; Goedert 2014",2,30,"increases<br>Large changes in the national partisan tide causes garrymanders to backfire on the map-drawing party (an effect known as the ""dummymander""), as their members face unexpectedly competitive elections.<br>Goedert 2017; Goedert 2014",increases,"<p>increases<br>Large changes in the national partisan tide causes garrymanders to backfire on the map-drawing party (an effect known as the ""dummymander""), as their members face unexpectedly competitive elections.<br>Goedert 2017; Goedert 2014</p>",#81a275,2
proportionality,House-Senate Delegation alignment,increases,NA,NA,Chen 2010,NA,1,24,increases<br><br>Chen 2010,increases,<p>increases<br><br>Chen 2010</p>,#81a275,1
compactness,minority representation,decreases,NA,"Webster 2013: citing earlier research, Webster posits that compactness hinders a map drawer's ability to create districts for historically underrepresented groups.",Webster 2013,NA,1,1,"decreases<br>Webster 2013: citing earlier research, Webster posits that compactness hinders a map drawer's ability to create districts for historically underrepresented groups.<br>Webster 2013",decreases,"<p>decreases<br>Webster 2013: citing earlier research, Webster posits that compactness hinders a map drawer's ability to create districts for historically underrepresented groups.<br>Webster 2013</p>",#b14552,1
compactness,compactness,NA,NA,"Barnes & Solomon 2020: measuring compactness can have associated flexibility that can be abused (geography, topography, cartographic projections, and resolution); Gatesman & Unwin 2021: lattice models for accounting gerrymandered, equal-pop, connected districts; Magleby & Mosesson 2018: graph partition algorithm for drawing districts based on compactness and equal population metrics.De Assis et al. 2014: Greedy randomized adaptive search procedure can balance multiple criteria, including compactness. Altman & McDonald 2011: produce an open source package that allows users to adjust weights of redistricting criteria, including redistricting. Liu et al.; propose a method of parallel evolutionary computation to solve the optimization problem of redistricting. Chen & Rodden; simulation-based method also takes compactness into account to draw district maps and identify gerrymanders. Tam Cho & Liu; use compactness in their redistricting algorithm. Saxon 2020: software for applying compactness/contiguity/equipopulation objectives to evaluate maps -- specific focus on different definitions of compactness.","Barnes & Solomon 2020; Gatesman & Unwin 2021; Magleby & Mosesson 2018; De Assis et al. 2014; Altman & McDonald 2011; Lie et al. 2016, Chen & Rodden 2015, Tam Cho & Liu 2016, Saxon 2020","Barnes & Solomon 2020; Magleby & Mosesson 2018; De Assis et al. 2014; Chen & Rodden 2015, Tam Cho & Liu 2016, Saxon 2020",6,0,"<br>Barnes & Solomon 2020: measuring compactness can have associated flexibility that can be abused (geography, topography, cartographic projections, and resolution); Gatesman & Unwin 2021: lattice models for accounting gerrymandered, equal-pop, connected districts; Magleby & Mosesson 2018: graph partition algorithm for drawing districts based on compactness and equal population metrics.De Assis et al. 2014: Greedy randomized adaptive search procedure can balance multiple criteria, including compactness. Altman & McDonald 2011: produce an open source package that allows users to adjust weights of redistricting criteria, including redistricting. Liu et al.; propose a method of parallel evolutionary computation to solve the optimization problem of redistricting. Chen & Rodden; simulation-based method also takes compactness into account to draw district maps and identify gerrymanders. Tam Cho & Liu; use compactness in their redistricting algorithm. Saxon 2020: software for applying compactness/contiguity/equipopulation objectives to evaluate maps -- specific focus on different definitions of compactness.<br>Barnes & Solomon 2020; Gatesman & Unwin 2021; Magleby & Mosesson 2018; De Assis et al. 2014; Altman & McDonald 2011; Lie et al. 2016, Chen & Rodden 2015, Tam Cho & Liu 2016, Saxon 2020",NA,"<p><br>Barnes & Solomon 2020: measuring compactness can have associated flexibility that can be abused (geography, topography, cartographic projections, and resolution); Gatesman & Unwin 2021: lattice models for accounting gerrymandered, equal-pop, connected districts; Magleby & Mosesson 2018: graph partition algorithm for drawing districts based on compactness and equal population metrics.De Assis et al. 2014: Greedy randomized adaptive search procedure can balance multiple criteria, including compactness. Altman & McDonald 2011: produce an open source package that allows users to adjust weights of redistricting criteria, including redistricting. Liu et al.; propose a method of parallel evolutionary computation to solve the optimization problem of redistricting. Chen & Rodden; simulation-based method also takes compactness into account to draw district maps and identify gerrymanders. Tam Cho & Liu; use compactness in their redistricting algorithm. Saxon 2020: software for applying compactness/contiguity/equipopulation objectives to evaluate maps -- specific focus on different definitions of compactness.<br>Barnes & Solomon 2020; Gatesman & Unwin 2021; Magleby & Mosesson 2018; De Assis et al. 2014; Altman & McDonald 2011; Lie et al. 2016, Chen & Rodden 2015, Tam Cho & Liu 2016, Saxon 2020</p>",NA,6
efficiency gap,efficiency gap,NA,NA,"Stephanopoulos and McGhee propose a measure of partisan symmetry to be adopted by the courts, in order to limit partisan influence over redistricting; McGhee distinguishes efficiency from related concepts of symmetry and responsiveness","Stephanopoulos & McGhee 2015, McGhee 2014",McGhee 2014,1,0,"<br>Stephanopoulos and McGhee propose a measure of partisan symmetry to be adopted by the courts, in order to limit partisan influence over redistricting; McGhee distinguishes efficiency from related concepts of symmetry and responsiveness<br>Stephanopoulos & McGhee 2015, McGhee 2014",NA,"<p><br>Stephanopoulos and McGhee propose a measure of partisan symmetry to be adopted by the courts, in order to limit partisan influence over redistricting; McGhee distinguishes efficiency from related concepts of symmetry and responsiveness<br>Stephanopoulos & McGhee 2015, McGhee 2014</p>",NA,1
equal population,equal population,NA,NA,"Gatesman & Unwin 2021: lattice models for accounting gerrymandered, equal-pop, connected districts; Magleby & Mosesson 2018: graph partition algorithm for drawing districts based on compactness and equal population metrics. Altman & McDonald 2011: produce an open source package that allows users to adjust weights of redistricting criteria, including equality of population",Gatesman & Unwin 2021; Magleby & Mosesson 2018,Magleby & Mosesson 2018,2,0,"<br>Gatesman & Unwin 2021: lattice models for accounting gerrymandered, equal-pop, connected districts; Magleby & Mosesson 2018: graph partition algorithm for drawing districts based on compactness and equal population metrics. Altman & McDonald 2011: produce an open source package that allows users to adjust weights of redistricting criteria, including equality of population<br>Gatesman & Unwin 2021; Magleby & Mosesson 2018",NA,"<p><br>Gatesman & Unwin 2021: lattice models for accounting gerrymandered, equal-pop, connected districts; Magleby & Mosesson 2018: graph partition algorithm for drawing districts based on compactness and equal population metrics. Altman & McDonald 2011: produce an open source package that allows users to adjust weights of redistricting criteria, including equality of population<br>Gatesman & Unwin 2021; Magleby & Mosesson 2018</p>",NA,2
redistricting commission,majority representation,no effect,NA,"Matsusaka does not discuss a mechanism for this relationship, but finds that other electoral rules, such as campaign finance regulations and ballot access rules, are also not associated with greater congruence between public opinion and legislative behavior.",Matsusaka 2010,Matsusaka 2010,1,1,"no effect<br>Matsusaka does not discuss a mechanism for this relationship, but finds that other electoral rules, such as campaign finance regulations and ballot access rules, are also not associated with greater congruence between public opinion and legislative behavior.<br>Matsusaka 2010",no effect,"<p>no effect<br>Matsusaka does not discuss a mechanism for this relationship, but finds that other electoral rules, such as campaign finance regulations and ballot access rules, are also not associated with greater congruence between public opinion and legislative behavior.<br>Matsusaka 2010</p>",#617d9f,1
redistricting commission,elite ideological moderation,increases,NA,"McGhee and Shor focus on the effect of the Top Two primary on elite moderation, but argue that the introduction of independent redistricting commissions may also lead to greater moderation by creating more competitive districts.",McGhee & Shor 2017,McGhee & Shor 2017,1,1,"increases<br>McGhee and Shor focus on the effect of the Top Two primary on elite moderation, but argue that the introduction of independent redistricting commissions may also lead to greater moderation by creating more competitive districts.<br>McGhee & Shor 2017",increases,"<p>increases<br>McGhee and Shor focus on the effect of the Top Two primary on elite moderation, but argue that the introduction of independent redistricting commissions may also lead to greater moderation by creating more competitive districts.<br>McGhee & Shor 2017</p>",#81a275,1
redistricting commission,competitiveness,"increases, no effect",NA,"Carson et al.: increased ideological polarization and the availability of redistricting computer software encourages elites to draw non-competitive districts in order to increase their odds of reelection. Masket et al.: partisan redistricting does not effect competition much and is swamped by other factors. Williamson 2019: redistricting commissions produce fewer uncontested elections, relative to partisan redistrcting.","Carson et al. 2014, Grainger 2010, Masket et al. 2012; Goedert 2014","Carson et al. 2014, Grainger 2010, Masket et al. 2012; Goedert 2014",2,2,"increases, no effect<br>Carson et al.: increased ideological polarization and the availability of redistricting computer software encourages elites to draw non-competitive districts in order to increase their odds of reelection. Masket et al.: partisan redistricting does not effect competition much and is swamped by other factors. Williamson 2019: redistricting commissions produce fewer uncontested elections, relative to partisan redistrcting.<br>Carson et al. 2014, Grainger 2010, Masket et al. 2012; Goedert 2014","increases, no effect","<p>increases, no effect<br>Carson et al.: increased ideological polarization and the availability of redistricting computer software encourages elites to draw non-competitive districts in order to increase their odds of reelection. Masket et al.: partisan redistricting does not effect competition much and is swamped by other factors. Williamson 2019: redistricting commissions produce fewer uncontested elections, relative to partisan redistrcting.<br>Carson et al. 2014, Grainger 2010, Masket et al. 2012; Goedert 2014</p>",#81a275,2
redistricting by courts,competitiveness,increases,NA,NA,Carson et al. 2014,Carson et al. 2014,1,2,increases<br><br>Carson et al. 2014,increases,<p>increases<br><br>Carson et al. 2014</p>,#81a275,1
upcoming redistricting,legislative majority-seeking behavior,increases,NA,"Parties have a greater incentive to become the majority party in the state legislature if redistricting is imminent and controlled by the legislature, as they can then determine the new district boundaries",Makse 2014,Makse 2014,1,1,"increases<br>Parties have a greater incentive to become the majority party in the state legislature if redistricting is imminent and controlled by the legislature, as they can then determine the new district boundaries<br>Makse 2014",increases,"<p>increases<br>Parties have a greater incentive to become the majority party in the state legislature if redistricting is imminent and controlled by the legislature, as they can then determine the new district boundaries<br>Makse 2014</p>",#81a275,1
partisan dislocation,partisan dislocation,NA,NA,"Deford, Eubank & Rodden 2020: new measure ""partisan dislocation"" which proxies for cracking/packing","Deford, Eubank & Rodden 2020",NA,1,0,"<br>Deford, Eubank & Rodden 2020: new measure ""partisan dislocation"" which proxies for cracking/packing<br>Deford, Eubank & Rodden 2020",NA,"<p><br>Deford, Eubank & Rodden 2020: new measure ""partisan dislocation"" which proxies for cracking/packing<br>Deford, Eubank & Rodden 2020</p>",NA,1
partisan gerrymandering,partisan advantage,increases,NA,The party in charge of the redistricting process draws maps to secure an electoral advantage.,Wang 2016; Cox & Holden 2011; Sabouni & Shelton 2021; Powell et al. 2020,Cox & Holden 2011; Sabouni & Shelton 2021; Powell et al. 2020,4,31,increases<br>The party in charge of the redistricting process draws maps to secure an electoral advantage.<br>Wang 2016; Cox & Holden 2011; Sabouni & Shelton 2021; Powell et al. 2020,increases,<p>increases<br>The party in charge of the redistricting process draws maps to secure an electoral advantage.<br>Wang 2016; Cox & Holden 2011; Sabouni & Shelton 2021; Powell et al. 2020</p>,#81a275,4
preserve communities of interest,partisan gerrymandering,decreases,NA,"Some traditional districting principles, like preserving communities of interest, can constrain partisan gerrymandering. Authors measure this by examining the degree of overlap of districts before and after the 2010 wave of redistricting.",Sabouni & Shelton 2021,Sabouni & Shelton 2021,1,63,"decreases<br>Some traditional districting principles, like preserving communities of interest, can constrain partisan gerrymandering. Authors measure this by examining the degree of overlap of districts before and after the 2010 wave of redistricting.<br>Sabouni & Shelton 2021",decreases,"<p>decreases<br>Some traditional districting principles, like preserving communities of interest, can constrain partisan gerrymandering. Authors measure this by examining the degree of overlap of districts before and after the 2010 wave of redistricting.<br>Sabouni & Shelton 2021</p>",#b14552,1
redistricting commission,candidate quality,increases,NA,"Commission-based redistricting leads to more races with quality candidates (candidates who have held office previously), because quality candidates are more confident that they can win if the map has not been subject to partisan manipulation.",Williamson 2019,Williamson 2019,1,1,"increases<br>Commission-based redistricting leads to more races with quality candidates (candidates who have held office previously), because quality candidates are more confident that they can win if the map has not been subject to partisan manipulation.<br>Williamson 2019",increases,"<p>increases<br>Commission-based redistricting leads to more races with quality candidates (candidates who have held office previously), because quality candidates are more confident that they can win if the map has not been subject to partisan manipulation.<br>Williamson 2019</p>",#81a275,1
efficiency gap,efficiency principle,fails,NA,"Veomett 2018 shows that, under unequal voter turnout, the efficiency gap does not satisfy the efficiency principle (it cannot distinguish between two outcomes, in which a party receives the same vote share but different seat shares).",Veomett 2018,NA,1,11,"fails<br>Veomett 2018 shows that, under unequal voter turnout, the efficiency gap does not satisfy the efficiency principle (it cannot distinguish between two outcomes, in which a party receives the same vote share but different seat shares).<br>Veomett 2018",fails,"<p>fails<br>Veomett 2018 shows that, under unequal voter turnout, the efficiency gap does not satisfy the efficiency principle (it cannot distinguish between two outcomes, in which a party receives the same vote share but different seat shares).<br>Veomett 2018</p>",#617d9f,1
wasted votes,efficiency gap,increases,NA,Only measures based on wasted votes can capture the concept of the efficiency gap. Symmetry-based measures fail to capture the concept.,McGhee 2017,NA,1,6,increases<br>Only measures based on wasted votes can capture the concept of the efficiency gap. Symmetry-based measures fail to capture the concept.<br>McGhee 2017,increases,<p>increases<br>Only measures based on wasted votes can capture the concept of the efficiency gap. Symmetry-based measures fail to capture the concept.<br>McGhee 2017</p>,#81a275,1
efficiency gap,ideological representation,affects,NA,"A higher efficiency gap indicates that one party gains additional seats in the legislature, which can then be used to achieve the party's policy goals.",Caughey et al. 2017b,Caughey et al. 2017b,1,11,"affects<br>A higher efficiency gap indicates that one party gains additional seats in the legislature, which can then be used to achieve the party's policy goals.<br>Caughey et al. 2017b",affects,"<p>affects<br>A higher efficiency gap indicates that one party gains additional seats in the legislature, which can then be used to achieve the party's policy goals.<br>Caughey et al. 2017b</p>",#617d9f,1
identification with governing party,support for redistricting process,increases,NA,Survey respondents who identify with the party in control of their state government are more likely to approve of their redistricting process and view it as fair.,Fougere et al. 2010,Fougere et al. 2010,1,1,increases<br>Survey respondents who identify with the party in control of their state government are more likely to approve of their redistricting process and view it as fair.<br>Fougere et al. 2010,increases,<p>increases<br>Survey respondents who identify with the party in control of their state government are more likely to approve of their redistricting process and view it as fair.<br>Fougere et al. 2010</p>,#81a275,1
redistricting commission,support for redistricting process,increases,NA,Survey respondents living in states with partisan control over the redistricting process were less likely to view the process as fair.,Fougere et al. 2010,Fougere et al. 2010,1,1,increases<br>Survey respondents living in states with partisan control over the redistricting process were less likely to view the process as fair.<br>Fougere et al. 2010,increases,<p>increases<br>Survey respondents living in states with partisan control over the redistricting process were less likely to view the process as fair.<br>Fougere et al. 2010</p>,#81a275,1
efficiency gap,proportionality,NA,NA,"Warrington argues that the efficiency gap metric reduces to proportional representation, which is not a constitutional right. Therefore, the efficiency gap is not a useful metric for identifying unconstitutional gerrymanders.",Warrington 2018,NA,1,12,"<br>Warrington argues that the efficiency gap metric reduces to proportional representation, which is not a constitutional right. Therefore, the efficiency gap is not a useful metric for identifying unconstitutional gerrymanders.<br>Warrington 2018",NA,"<p><br>Warrington argues that the efficiency gap metric reduces to proportional representation, which is not a constitutional right. Therefore, the efficiency gap is not a useful metric for identifying unconstitutional gerrymanders.<br>Warrington 2018</p>",NA,1
change in constituency boundaries,issue salience,affects,NA,"Because we divide the electorate according to geography, local issues (issues of place) become more important than issues that are unrelated to place.",Gardner 2012,NA,1,1,"affects<br>Because we divide the electorate according to geography, local issues (issues of place) become more important than issues that are unrelated to place.<br>Gardner 2012",affects,"<p>affects<br>Because we divide the electorate according to geography, local issues (issues of place) become more important than issues that are unrelated to place.<br>Gardner 2012</p>",#617d9f,1
change in constituency boundaries,degree of political conflict,affects,NA,"Districts can be drawn such that the electorate within each district is homogeneous or heterogeneous (along some relevant political dimension). The more heterogeneous the district, the greater likelihood of political conflict.",Gardner 2012,NA,1,1,"affects<br>Districts can be drawn such that the electorate within each district is homogeneous or heterogeneous (along some relevant political dimension). The more heterogeneous the district, the greater likelihood of political conflict.<br>Gardner 2012",affects,"<p>affects<br>Districts can be drawn such that the electorate within each district is homogeneous or heterogeneous (along some relevant political dimension). The more heterogeneous the district, the greater likelihood of political conflict.<br>Gardner 2012</p>",#617d9f,1
partisan gerrymandering,majority representation,affects,NA,"Goedert 2014: The type of gerrymander (bipartisan, nonpartisan, partisan) can affect two aspects of representation: bias and responsiveness. Nagle 2019: Gerrymandering in Pennsylvania hinders responsiveness, so responsiveness ought to be its own redistricting criteria.",Goedert 2014; Nagle 2019,NA,2,8,"affects<br>Goedert 2014: The type of gerrymander (bipartisan, nonpartisan, partisan) can affect two aspects of representation: bias and responsiveness. Nagle 2019: Gerrymandering in Pennsylvania hinders responsiveness, so responsiveness ought to be its own redistricting criteria.<br>Goedert 2014; Nagle 2019",affects,"<p>affects<br>Goedert 2014: The type of gerrymander (bipartisan, nonpartisan, partisan) can affect two aspects of representation: bias and responsiveness. Nagle 2019: Gerrymandering in Pennsylvania hinders responsiveness, so responsiveness ought to be its own redistricting criteria.<br>Goedert 2014; Nagle 2019</p>",#617d9f,2
detect gerrymandering,inequality of opportunity vs outcome,NA,NA,Wang et al. 2018,Wang et al. 2018,NA,1,3,<br>Wang et al. 2018<br>Wang et al. 2018,NA,<p><br>Wang et al. 2018<br>Wang et al. 2018</p>,NA,1
change in constituency boundaries,electorate composition change,increases,NA,"Changing the boundaries of a district will necessarily cange who is in the district, but the reverse is not necessarily true. A electorate can change without the district boundaries changing.",Bertelli & Carson 2011; Hood & McKee 2013; Ansolabehere & Snyder 2012,NA,3,4,"increases<br>Changing the boundaries of a district will necessarily cange who is in the district, but the reverse is not necessarily true. A electorate can change without the district boundaries changing.<br>Bertelli & Carson 2011; Hood & McKee 2013; Ansolabehere & Snyder 2012",increases,"<p>increases<br>Changing the boundaries of a district will necessarily cange who is in the district, but the reverse is not necessarily true. A electorate can change without the district boundaries changing.<br>Bertelli & Carson 2011; Hood & McKee 2013; Ansolabehere & Snyder 2012</p>",#81a275,3
